nom,ordre,0_start_time,0_end_time,stimu1,1_start_time,1_end_time,1_liking,stimu2,2_start_time,2_end_time,2_liking,stimu3,3_start_time,3_end_time,3_liking,stimu4,4_start_time,4_end_time,4_liking,stimu5,5_start_time,5_end_time,5_liking,stimu6,6_start_time,6_end_time,6_liking,stimu7,7_start_time,7_end_time,7_liking,stimu8,8_start_time,8_end_time,8_liking,stimu9,9_start_time,9_end_time,9_liking,stimu10,10_start_time,10_end_time,10_liking,stimu11,11_start_time,11_end_time,11_liking,stimu12,12_start_time,12_end_time,12_liking,stimu13,13_start_time,13_end_time,13_liking,stimu14,14_start_time,14_end_time,14_liking,stimu15,15_start_time,15_end_time,15_liking,stimu16,16_start_time,16_end_time,16_liking
eloise,22,5.3,55.3,823,4.99,29.98,aime,963,4.12,26.17,aime,811,5.21,29.04,aime_pas,814,3.76,24.42,aime_pas,712,4.51,31.61,aime,967,4.02,20.26,aime_pas,254,4.29,30.29,aime_pas,452,4.12,38.72,aime,663,4.65,22.99,aime_pas,896,4.93,26.43,aime_pas,475,4.12,31.32,aime,761,5,34.17,aime_pas,795,5.26,26.91,aime_pas,546,3.54,28.59,aime_pas,112,3.63,27.39,aime_pas,779,4.85,27.69,aime
maxine,23,4.14,54.14,795,4.08,21.52,aime_pas,761,3.78,23.96,aime_pas,452,3.65,30.08,aime,712,4.49,25.44,aime_pas,896,4.12,23.8,aime_pas,254,3.8,24.12,aime,112,4.01,22.94,aime,546,3.85,23.95,aime,663,3.97,25.09,aime,475,3.4,22.95,aime_pas,823,3.88,25.59,aime_pas,779,3.49,21.4,aime_pas,814,3.85,23.84,aime_pas,967,3.51,23.73,aime,811,3.92,22.76,aime,963,4.1,25.4,aime_pas
audrey,24,4.36,54.36,254,3.93,22.75,aime_pas,811,4.91,23.5,aime_pas,546,3.94,26.51,aime,761,2.6,29.15,aime_pas,112,2.56,33.72,aime,967,2.71,33.81,aime_pas,475,2.87,33.2,aime,823,2.25,35.79,aime_pas,779,3.83,45.41,aime,452,3.04,36.84,aime,963,2.02,47.42,aime,795,2.3,40.27,aime_pas,896,2.68,39.64,aime,712,1.99,48.49,aime_pas,814,4.2,25.8,aime,663,2.34,45.12,aime_pas
lea,25,5.24,55.24,963,5.06,39.66,aime,811,4.63,49.23,aime,546,8.25,53.67,aime,761,4.69,57.97,aime,896,4.62,55.3,aime_pas,663,4.48,60,aime,795,4.69,48.82,aime_pas,712,4.54,58.23,aime,823,5.19,60,aime,779,4.68,38.6,aime,814,4.43,45.58,aime_pas,475,4.59,45.58,aime,967,5.85,50.15,aime_pas,254,4.25,60,aime_pas,112,4.03,46.5,aime_pas,452,4.9,44.88,aime
rindra,26,4.17,54.17,761,2.61,18.72,aime_pas,814,1.99,20.96,aime_pas,811,2.03,20.64,aime_pas,254,2.75,20.96,aime_pas,452,2.4,20,aime_pas,823,2.38,19.47,aime,963,3.32,19.53,aime_pas,475,2.34,20.23,aime_pas,663,2.5,21.79,aime,896,2.23,22.37,aime,779,2.56,19.95,aime_pas,112,2.31,21.49,aime_pas,795,2.81,18.93,aime_pas,712,2.46,20.95,aime,967,2.76,20.81,aime_pas,546,3.15,22.54,aime_pas
gregory,27,4.24,54.24,452,4.7,60,aime_pas,663,4.84,55.04,aime,896,5.77,52.76,aime_pas,712,5.07,59.46,aime,761,4.68,55.16,aime_pas,112,4.54,60,aime,967,4.36,58.19,aime,811,3.72,60,aime,963,4.71,57.72,aime_pas,823,4.51,60,aime,254,3.83,60,aime,779,4.15,57.17,aime_pas,546,4.1,56.6,aime,795,4.88,60,aime,814,4.6,58.2,aime_pas,475,4.16,60,aime_pas
chloe,28,3.5,53.5,452,3.69,32.13,aime_pas,761,2.77,43.38,aime_pas,254,2.75,40.58,aime_pas,963,2.77,46.26,aime,546,3.76,36.83,aime,795,2.63,39.99,aime,112,2.42,47.6,aime_pas,967,2.33,47.44,aime_pas,475,2.78,47.8,aime,779,3.64,50.58,aime,663,2.84,53.04,aime_pas,823,2.64,57.44,aime_pas,811,4.18,57.11,aime,896,4.28,40.71,aime,712,2.58,60,aime_pas,814,3.8,36,aime
mathilde,29,3.3,53.3,967,3.16,23.46,aime,546,3.63,24.33,aime_pas,896,3.24,21.84,aime_pas,475,4.84,23.94,aime_pas,779,4.13,22.77,aime_pas,823,5.95,29.11,aime,663,3.82,20.62,aime,712,4.85,22.08,aime_pas,795,4.23,21.08,aime,811,3.57,23.67,aime,452,4.58,25.01,aime_pas,254,3.85,23.82,aime_pas,761,3.8,26.03,aime_pas,112,3.26,28.79,aime_pas,814,3.72,21.69,aime_pas,963,5.87,29.45,aime_pas
mahaut,30,2.57,52.57,254,2.93,27.57,aime_pas,546,2.94,33.49,aime_pas,811,2.55,32.33,aime_pas,452,4.97,45.6,aime_pas,967,2.57,39.43,aime,823,2.33,42.19,aime,814,3.6,39.15,aime_pas,475,3.11,41.37,aime,896,2.47,36.63,aime_pas,761,4.96,47.33,aime_pas,112,2.38,47.6,aime_pas,795,4.07,45.62,aime_pas,663,3.71,54.29,aime,963,2.46,45.52,aime_pas,712,2.55,42.35,aime_pas,779,5.3,47.53,aime_pas
melchior,31,7.95,57.95,779,5.67,39.22,aime,254,4.33,37.2,aime_pas,546,3.21,30.97,aime_pas,963,5.36,30.95,aime_pas,663,5.86,52.85,aime,967,3.42,38.33,aime,761,3.81,47.67,aime_pas,795,3.58,40.1,aime,452,3.95,30.3,aime_pas,112,3.1,53.1,aime_pas,712,3.91,40.1,aime_pas,475,3.96,59.5,aime,896,5.37,30.99,aime_pas,823,5.72,60,aime_pas,811,4.87,32.15,aime_pas,814,3.38,36.97,aime_pas
clement,32,3.2,53.2,963,4.96,32.43,aime_pas,823,4.84,44.18,aime_pas,546,5.23,43.97,aime_pas,663,4.57,51.35,aime,779,5.13,51.57,aime,254,5.26,36.64,aime_pas,761,4.82,44.79,aime_pas,896,5,51.16,aime_pas,967,4.35,60,aime,795,4.8,56.17,aime_pas,712,4.57,58.51,aime,811,4.67,57.06,aime,475,4.28,51.54,aime,452,6.03,49.7,aime_pas,814,7.67,56.02,aime_pas,112,6.08,48.73,aime
remi,33,4.43,54.43,967,4.87,24.45,aime,823,4.69,26.53,aime,663,4.18,28.66,aime,896,5.01,24.83,aime,779,4.86,24.58,aime_pas,814,5.09,26.68,aime_pas,811,4.19,25.46,aime_pas,475,5.11,25.02,aime,963,4.5,24.57,aime,761,5.12,23.2,aime_pas,452,5.15,23.1,aime_pas,795,4.9,23.21,aime_pas,112,5.64,23.3,aime_pas,254,5.14,28.17,aime_pas,546,4.27,25.92,aime,712,4.27,24.56,aime
lucie,34,3.52,53.52,452,3.21,45.04,aime_pas,712,4.04,37.11,aime,896,6.87,33.88,aime_pas,823,3.43,35.17,aime_pas,811,4.86,34.43,aime,963,3.53,31.2,aime_pas,663,3.83,32.05,aime,814,3.29,36.19,aime_pas,795,4.05,26.77,aime,761,2.99,29.01,aime,112,3.97,28.63,aime_pas,254,3.6,28.57,aime_pas,475,3.24,26.93,aime,779,3.85,32.02,aime_pas,546,3.09,37.7,aime,967,3.69,38.79,aime_pas
